date,week,subject,type,dict
9/16/23,3,v,IC,"{'A9': 3, 'B8': 9, 'B24': 1, 'C2': 5, 'C16': 2, 'A6': 1, 'C12': 4, 'B25': 2, 'A16': 2, 'B6': 3, 'A1': 3, 'C9': 4, 'B11': 2, 'B13': 1, 'A2': 1}"
9/16/23,3,n,HW,"{'A2': 10, 'A6': 9, 'A9': 8, 'A25': 7, 'B3': 2, 'B19': 3, 'B23': 6, 'A7': 4, 'A10': 4, 'A11': 4, 'A19': 6, 'C14': 5, 'A14': 3, 'B4': 1, 'C8': 8, 'A3': 2, 'A15': 1, 'A16': 2, 'A22': 5, 'C3': 3, 'C4': 5, 'A21': 4, 'B8': 5, 'B14': 4, 'B17': 3, 'B20': 3, 'C2': 4, 'C5': 2, 'C9': 7, 'C12': 4, 'B5': 5, 'B15': 2, 'B24': 4, 'A17': 2, 'B2': 2, 'B16': 1, 'B18': 1, 'B22': 1, 'C7': 6, 'A13': 2, 'A20': 2, 'A23': 3, 'A4': 2, 'A8': 1, 'A24': 1, 'B7': 2, 'B21': 3, 'C1': 2, 'C6': 2, 'C13': 2, 'A5': 1, 'A18': 2, 'B11': 2, 'C15': 2, 'A12': 1, 'A1': 1, 'B6': 1, 'B9': 1}"
9/16/23,3,q,HW,"{'B7': 2, 'B9': 4, 'C9': 8, 'C22': 7, 'C25': 7, 'A4': 8, 'A7': 6, 'A15': 4, 'A19': 6, 'B10': 2, 'C10': 10, 'A18': 4, 'B16': 3, 'B18': 5, 'C11': 5, 'C20': 8, 'A13': 4, 'A14': 6, 'A16': 1, 'C4': 4, 'C14': 5, 'A8': 3, 'A17': 3, 'B8': 2, 'B12': 2, 'C7': 6, 'C13': 6, 'C16': 6, 'C17': 3, 'C21': 5, 'C24': 5, 'A5': 5, 'A10': 4, 'A12': 4, 'A20': 3, 'B1': 2, 'B4': 3, 'B5': 1, 'B14': 2, 'B15': 3, 'B19': 2, 'B20': 3, 'C2': 4, 'C3': 3, 'C5': 2, 'C6': 5, 'C12': 5, 'C19': 3, 'A6': 3, 'B2': 2, 'B17': 1, 'C1': 2, 'C8': 1, 'C15': 1, 'C18': 1, 'C23': 3, 'A1': 1, 'A3': 1, 'A9': 2, 'A11': 1, 'B3': 3}"
9/17/23,3,v,IC,"{'B6': 4, 'B11': 3, 'B15': 1, 'B23': 2, 'C2': 4, 'C9': 6, 'B5': 1, 'B7': 2, 'B8': 9, 'C12': 3, 'B17': 2, 'B24': 1, 'C6': 2, 'A9': 2, 'C16': 3, 'A20': 1, 'A15': 1, 'B14': 1, 'A1': 2, 'B13': 1, 'B12': 1}"
9/17/23,3,n,HW,"{'A1': 1, 'A2': 6, 'A9': 3, 'C14': 9, 'B5': 4, 'B17': 3, 'C7': 5, 'C8': 4, 'A25': 3, 'B21': 2, 'C2': 4, 'A11': 2, 'A20': 3, 'B14': 5, 'A3': 2, 'A5': 1, 'A6': 5, 'A7': 2, 'B4': 1, 'B23': 1, 'A16': 2, 'C3': 2, 'C9': 2, 'A4': 3, 'A12': 1, 'A17': 1, 'A19': 5, 'B24': 2, 'A10': 2, 'B19': 1, 'A24': 1, 'B7': 1, 'B11': 2, 'C6': 1, 'A21': 1, 'C5': 1, 'A22': 1}"
9/17/23,3,q,HW,"{'A5': 2, 'A17': 3, 'C4': 1, 'C7': 3, 'C9': 7, 'C10': 8, 'C11': 5, 'C12': 1, 'C14': 5, 'C15': 7, 'C17': 4, 'A4': 4, 'B1': 5, 'B3': 4, 'B9': 6, 'C18': 2, 'A6': 4, 'A8': 1, 'B16': 3, 'C6': 2, 'C19': 4, 'C22': 6, 'C24': 3, 'B13': 1, 'B7': 1, 'B18': 2, 'C16': 4, 'C25': 4, 'A10': 1, 'A12': 1, 'C20': 2, 'C21': 2, 'B14': 1, 'A13': 2, 'A19': 1, 'C8': 1, 'C23': 1, 'A7': 1, 'A16': 1, 'C3': 1}"
9/23/23,4,v,IC,"{'B8': 3, 'B11': 1, 'B17': 4, 'B20': 4, 'C7': 1, 'B23': 1, 'A15': 2, 'B19': 2, 'C10': 2, 'C12': 1, 'C19': 2, 'A10': 1, 'C5': 1, 'A9': 1, 'C6': 1, 'B7': 1, 'C2': 1, 'C13': 1, 'C18': 1, 'C20': 1}"
9/23/23,4,n,HW,"{'A7': 5, 'B18': 9, 'C15': 4, 'A12': 6, 'A21': 1, 'A24': 5, 'B12': 2, 'A6': 1, 'A13': 3, 'B20': 5, 'B24': 3, 'A10': 8, 'A23': 3, 'B3': 3, 'A8': 2, 'A19': 2, 'A22': 5, 'B15': 1, 'A4': 1, 'A9': 1, 'B6': 2, 'B11': 1, 'B14': 1, 'C11': 3, 'A3': 2, 'A11': 1, 'A14': 3, 'B1': 1, 'A20': 3, 'B5': 2, 'C3': 1, 'C6': 1, 'A17': 2, 'A18': 3, 'B10': 1, 'C14': 1, 'A1': 1, 'A2': 1, 'B13': 1, 'A15': 1, 'C9': 1}"
9/23/23,4,q,HW,"{'A6': 5, 'A12': 3, 'C19': 3, 'C23': 4, 'A13': 2, 'A15': 2, 'B10': 3, 'A2': 3, 'A4': 1, 'A7': 3, 'A14': 2, 'A17': 3, 'A18': 1, 'A19': 2, 'A20': 2, 'B18': 2, 'B19': 2, 'B20': 2, 'A9': 1, 'B4': 2, 'B6': 2, 'B15': 2, 'C14': 1, 'C15': 1, 'C16': 1, 'C18': 1, 'C20': 1, 'C22': 2, 'C24': 1, 'C12': 3, 'A3': 2, 'B7': 2, 'C25': 2, 'A5': 2, 'B1': 1, 'B2': 1, 'B3': 1, 'B5': 2, 'B8': 2, 'B9': 1, 'B11': 1, 'B12': 1, 'B13': 1, 'B14': 1, 'B16': 1, 'B17': 1, 'C8': 1, 'A10': 1, 'C10': 1, 'C11': 1, 'C13': 1, 'C21': 2, 'C6': 1}"
9/24/23,4,v,IC,"{'C11': 2, 'B20': 6, 'C16': 3, 'B19': 3, 'A15': 3, 'B6': 1, 'B7': 1, 'B13': 3, 'B23': 3, 'C18': 1, 'C9': 1, 'C10': 1, 'C3': 2, 'C8': 1, 'C7': 3, 'A9': 1, 'B17': 1, 'C2': 1, 'C20': 1, 'A13': 1, 'B11': 1, 'B22': 1}"
9/24/23,4,n,HW,"{'C10': 3, 'C15': 4, 'A10': 6, 'A12': 5, 'A23': 5, 'B18': 10, 'A11': 3, 'A17': 1, 'B19': 1, 'A25': 2, 'B5': 3, 'B20': 5, 'B21': 1, 'A15': 1, 'A22': 4, 'B15': 5, 'C8': 1, 'A14': 3, 'B3': 3, 'B6': 1, 'B12': 2, 'A13': 2, 'A24': 4, 'B9': 3, 'C13': 2, 'B10': 1, 'C11': 2, 'A21': 1, 'B2': 1, 'C14': 1, 'A18': 2, 'B24': 1, 'C1': 1, 'A1': 1, 'B17': 1}"
9/24/23,4,q,HW,"{'A4': 1, 'A6': 4, 'A7': 2, 'A18': 5, 'B6': 1, 'B7': 1, 'B15': 3, 'B10': 2, 'B20': 2, 'C17': 2, 'C19': 2, 'C20': 2, 'C21': 2, 'C22': 2, 'C25': 3, 'A3': 1, 'A10': 1, 'A14': 1, 'A15': 1, 'A17': 3, 'A20': 3, 'B2': 1, 'B3': 1, 'B5': 1, 'B8': 1, 'C4': 1, 'C9': 1, 'C10': 1, 'C11': 1, 'C12': 3, 'C15': 1, 'A12': 3, 'A13': 1, 'C2': 1, 'C16': 1, 'B14': 1, 'A5': 1, 'A8': 1, 'A11': 1, 'C5': 1}"
9/30/23,5,v,IC,"{'A14': 1, 'B24': 5, 'C14': 1, 'B23': 4, 'C15': 5, 'B4': 3, 'A11': 1, 'A20': 1, 'B12': 1, 'B14': 2, 'B16': 2, 'B17': 1, 'B22': 1, 'B19': 1, 'C9': 2, 'B2': 2, 'C1': 2, 'C20': 1, 'A15': 1, 'C11': 1, 'B1': 1, 'B8': 1}"
9/30/23,5,n,HW,"{'A11': 4, 'A19': 2, 'A23': 6, 'B12': 4, 'B2': 4, 'B22': 4, 'C8': 2, 'A5': 6, 'A13': 5, 'A16': 8, 'B5': 3, 'A12': 2, 'B11': 3, 'A3': 2, 'A10': 3, 'A14': 3, 'A18': 2, 'B13': 1, 'B24': 3, 'C11': 2, 'A6': 1, 'A22': 2, 'B25': 2, 'C12': 4, 'A1': 1, 'A2': 2, 'A15': 2, 'B3': 1, 'C4': 2, 'A4': 2, 'B17': 3, 'C10': 3, 'A21': 1, 'C5': 2, 'C7': 2, 'C13': 2, 'B1': 1, 'B7': 1}"
9/30/23,5,q,HW,"{'A9': 1, 'A10': 3, 'C24': 1, 'A11': 1, 'A7': 2, 'A15': 3, 'A18': 2, 'A6': 1, 'B4': 1, 'B13': 1, 'B6': 1, 'A14': 2, 'A19': 3, 'B3': 1, 'A8': 1, 'A16': 1, 'B18': 1, 'B19': 1, 'C5': 1, 'C6': 1, 'C10': 1, 'C12': 1, 'C13': 1, 'C20': 1, 'C22': 1, 'C23': 1} "
10/1/23,5,v,IC,"{'B4': 3, 'B8': 5, 'B14': 7, 'C18': 1, 'B5': 5, 'B9': 2, 'C20': 1, 'B11': 2, 'B25': 3, 'A16': 1, 'B2': 2, 'B23': 3, 'C15': 1, 'A17': 1, 'A1': 1, 'A7': 1, 'B24': 2, 'A10': 1, 'B13': 1, 'B21': 1, 'C12': 1}"
10/1/23,5,n,HW,"{'A18': 1, 'A23': 8, 'C11': 5, 'A1': 1, 'A11': 5, 'B12': 4, 'B17': 5, 'A13': 7, 'A16': 6, 'B22': 5, 'A5': 6, 'A6': 2, 'B1': 2, 'A24': 3, 'B14': 1, 'A12': 2, 'C14': 1, 'B11': 1, 'C8': 2, 'C10': 2, 'C12': 3, 'B2': 2, 'B10': 1, 'A4': 1, 'B24': 1, 'B5': 1, 'A19': 1, 'A10': 1, 'A15': 1, 'C13': 1}"
10/1/23,5,q,HW,"{'A18': 5, 'B6': 2, 'A19': 4, 'A17': 4, 'C24': 2, 'C25': 1, 'A11': 3, 'B12': 1, 'C12': 2, 'A10': 3, 'B5': 1, 'A8': 2, 'A9': 2, 'C20': 1, 'A15': 1, 'C21': 2, 'A13': 1, 'B18': 2, 'A12': 1, 'B10': 1, 'C3': 1, 'C10': 1, 'C19': 1, 'C22': 1, 'C23': 1}"
10/7/23,6,e,IC,"{'A8': 9, 'A10': 7, 'A16': 7, 'A19': 4, 'B9': 8, 'A6': 3, 'A14': 2, 'A15': 4, 'A18': 2, 'B3': 5, 'A9': 4, 'B4': 1, 'B14': 6, 'A20': 3, 'B12': 5, 'B7': 1, 'A5': 1, 'A7': 2, 'A12': 2, 'A13': 1, 'A2': 1, 'B13': 1}"
10/7/23,6,m,IC,"{'9': 3, '11': 4, '14': 5, '18': 1, '20': 4, '31': 11, '6': 5, '29': 3, '30': 2, '7': 4, '16': 3, '26': 1, '21': 3, '13': 2, '22': 3, '23': 1, '25': 3, '4': 1, '17': 1, '19': 1, '2': 1}"
10/7/23,6,n,HW,"{'A2': 3, 'A4': 6, 'A17': 5, 'A22': 4, 'A13': 6, 'B11': 5, 'B13': 5, 'B17': 4, 'A5': 4, 'A16': 3, 'B7': 2, 'B19': 3, 'B21': 3, 'A1': 3, 'B2': 1, 'B12': 1, 'C13': 4, 'C14': 3, 'A11': 6, 'A15': 2, 'B10': 4, 'B20': 4, 'B25': 5, 'A3': 3, 'A14': 1, 'A20': 2, 'B22': 2, 'C1': 3, 'C7': 5, 'A24': 2, 'B1': 3, 'B4': 3, 'B8': 3, 'A18': 3, 'B9': 2, 'B23': 4, 'B24': 2, 'C4': 3, 'A21': 1, 'B6': 4, 'B16': 4, 'C2': 2, 'C15': 2, 'A6': 2, 'A10': 2, 'C3': 1, 'B3': 2, 'B5': 1}"
10/7/23,6,q,HW,"{'A15': 7, 'A1': 2, 'B10': 3, 'C14': 10, 'C20': 5, 'C25': 6, 'C21': 4, 'C22': 6, 'C16': 2, 'A10': 2, 'A18': 2, 'B8': 1, 'B11': 1, 'B14': 1, 'C1': 1, 'C7': 1, 'C10': 3, 'C11': 1, 'C19': 4, 'C23': 3, 'C24': 5, 'A6': 1, 'C17': 2, 'C13': 2, 'A11': 1, 'B2': 1, 'B5': 1, 'B19': 1, 'C18': 2, 'B15': 1, 'C15': 1, 'A16': 2, 'A19': 1, 'B12': 1, 'B20': 1}"
10/8/23,6,e,IC,"{'A5': 2, 'A8': 9, 'A9': 5, 'A16': 8, 'A19': 5, 'A20': 2, 'B3': 5, 'B14': 7, 'B8': 1, 'B10': 1, 'B12': 5, 'B15': 1, 'A12': 5, 'A10': 6, 'B9': 4, 'B13': 2, 'A15': 1, 'A18': 1, 'A2': 2, 'A3': 2, 'A6': 1, 'A14': 1, 'B1': 1, 'B2': 2, 'B6': 2, 'A4': 1, 'A7': 1}"
10/8/23,6,m,IC,"{'4': 5, '20': 3, '31': 10, '11': 4, '14': 1, '17': 4, '16': 4, '22': 3, '30': 1, '6': 1, '21': 1, '1': 1, '2': 2, '9': 1, '13': 1, '19': 1, '25': 1, '7': 1}"
10/8/23,6,n,HW,"{'A4': 6, 'A11': 6, 'A16': 2, 'B9': 5, 'B11': 3, 'A1': 4, 'A5': 6, 'A7': 1, 'A9': 2, 'C13': 2, 'A3': 3, 'B13': 4, 'B22': 3, 'B23': 4, 'B25': 2, 'B1': 2, 'B4': 1, 'B21': 3, 'C6': 1, 'A2': 2, 'A22': 2, 'B12': 1, 'B14': 2, 'B16': 4, 'A17': 2, 'B19': 2, 'C4': 3, 'C7': 2, 'C14': 3, 'C15': 3, 'B10': 1, 'A18': 1, 'B3': 1, 'B20': 1, 'A15': 1, 'B6': 1, 'C1': 1, 'A13': 1, 'C12': 1}"
10/8/23,6,q,HW,"{'A15': 3, 'C14': 9, 'C16': 2, 'C22': 2, 'C13': 1, 'C21': 2, 'C10': 2, 'C24': 4, 'C25': 1, 'A13': 1, 'C5': 2, 'C15': 1, 'A7': 1, 'B8': 1, 'C20': 4, 'B10': 1, 'C7': 1, 'C18': 2, 'A18': 1, 'A1': 1, 'A10': 1, 'B12': 1, 'B14': 1, 'C6': 1, 'C11': 1, 'A14': 1, 'A16': 1}"
10/14/23,7,e,IC,"{'22': 2, '33': 1, '5': 2, '32': 1, '24': 2, '9': 1, '35': 1, '19': 1, '25': 1, '28': 1}"
10/14/23,7,m,IC,"{'4': 2, '14': 2, '22': 2, '16': 3, '26': 1, '6': 1, '21': 1, '25': 2, '35': 1, '34': 1, '32': 1, '15': 1}"
10/14/23,7,e,HW,"{'13': 4, '21': 6, '31': 3, '39': 9, '43': 6, '22': 6, '50': 4, '17': 2, '37': 4, '9': 3, '12': 5, '33': 4, '38': 1, '24': 2, '35': 1, '15': 2, '16': 2, '30': 1, '2': 1, '19': 2, '20': 1, '34': 1}"
10/14/23,7,m,HW,"{'A24': 2, 'A29': 1, 'A32': 3, 'A35': 2, 'A38': 5, 'A20': 4, 'A31': 2, 'A42': 2, 'A2': 1, 'A10': 3, 'A19': 1, 'A50': 3, 'A13': 1, 'A39': 2, 'A40': 1, 'A8': 2, 'A48': 2, 'A22': 1, 'A33': 1, 'A37': 1, 'A47': 1, 'A49': 1}"
10/15/23,7,e,IC,"{'18': 1, '20': 1, '23': 2, '28': 2, '3': 1, '6': 1, '7': 1, '32': 1, '35': 1, '26': 1, '33': 2, '25': 1}"
10/15/23,7,m,IC,"{'16': 3, '19': 1, '22': 5, '9': 1, '15': 3, '17': 1, '31': 3, '35': 1, '12': 1, '26': 2, '21': 1, '27': 1, '36': 1, '6': 1, '25': 1}"
10/15/23,7,e,HW,"{'12': 9, '13': 4, '39': 7, '21': 3, '31': 5, '43': 5, '22': 2, '37': 3, '33': 3, '29': 2, '50': 1, '16': 1, '34': 2, '14': 1, '44': 1, '48': 1, '9': 1, '10': 1, '15': 1, '24': 1, '30': 1, '35': 1, '45': 2, '19': 1}"
10/15/23,7,m,HW,"{'A10': 5, 'A2': 1, 'A20': 2, 'A22': 1, 'A29': 1, 'A38': 3, 'A42': 3, 'A44': 2, 'A50': 1, 'A8': 1, 'A9': 1, 'A13': 1, 'A18': 2, 'A19': 1, 'A27': 2, 'A37': 1, 'A39': 2, 'A31': 1, 'A32': 1}"